dataset,model,roc_auc,pr_auc,pr_baseline,precision,recall,trend_rho,trend_p,boot_rho,ci_lower,ci_upper,overconfident,n_high_disagreement,noisy,n_high_agreement
hatexplain,deepseek-r1:8b-0528-qwen3-q4_K_M,0.5254840000000001,0.6817679421768708,0.6666666666666666,0.6979591836734694,0.342,0.04768423307754082,0.06484675686254936,0.04768423307754082,-0.004032040862951174,0.09854837608934638,329,500,148,500
hatexplain,llama3.1:8b-instruct-q4_K_M,0.5012704134217387,0.661719627523132,0.6581291759465479,0.6579710144927536,0.3840947546531303,0.021437197809858012,0.521145982967235,0.021437197809858012,-0.04429913707371087,0.09287064678641313,180,304,118,307
hatexplain,qwen3.5:9b-q4_K_M,0.4845259999999999,0.6596895448770034,0.6666666666666666,0.6450939457202505,0.309,-0.005425053612834386,0.8337162134239067,-0.005425053612834386,-0.05499938200317915,0.048225371924417976,333,500,170,500
