dataset,model,roc_auc,pr_auc,pr_baseline,precision,recall,trend_rho,trend_p,boot_rho,ci_lower,ci_upper,overconfident,n_high_disagreement,noisy,n_high_agreement
mhs,deepseek-r1:8b-0528-qwen3-q4_K_M,0.520741,0.6758320512820513,0.6666666666666666,0.7115384615384616,0.222,0.012211980371671318,0.6365047932425961,0.015907533010499124,-0.02874042349772401,0.06819894848956658,403,500,90,500
mhs,llama3.1:8b-instruct-q4_K_M,0.49177226226458964,0.6341994517548449,0.6399345335515548,0.6282894736842105,0.2442455242966752,-0.0366571271484624,0.20035302259495555,-0.03412111546242906,-0.09277227539828319,0.016390021150162762,305,391,113,440
mhs,qwen3.5:9b-q4_K_M,0.45753999999999995,0.6468723992434162,0.6666666666666666,0.6009852216748769,0.244,-0.09377334885589997,0.00027603048258654904,-0.08712759692320902,-0.13670368585078355,-0.0373867716975144,388,500,162,500
